"Defined","Location","Label","Code Unit","String View","String Type","Length","Is Word"
"","0002ccd0","s_GET_/sce/premo/session/ctrl_HTTP_0002ccd0","ds \"GET /sce/premo/session/ctrl HTTP/1.0\n\"","\"GET /sce/premo/session/ctrl HTTP/1.0\n\"","string","38","true"
"","0002ccf8","s_%s%s%s%s%s%d.%d_%s%08x_0002ccf8","ds \"%s%s%s%s%s%d.%d\r\n%s%08x\r\n\r\n\"","\"%s%s%s%s%s%d.%d\r\n%s%08x\r\n\r\n\"","string","28","true"
"","0002cd28","s_NPXS01003_00_0002cd28","ds \"NPXS01003_00\"","\"NPXS01003_00\"","string","13","false"
"","0002cd80","s__cellPremoMyHeap_0002cd80","ds \"_cellPremoMyHeap\"","\"_cellPremoMyHeap\"","string","17","true"
"","0002cd98","s_ABCDEFGHIJKLMNOPQRSTUVWXYZabcdef_0002cd98","ds \"ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/\"","\"ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/\"","string","65","true"
"","0002ce20","s_HTTP/1.1_403_Forbidden_0002ce20","ds \"HTTP/1.1 403 Forbidden\r\n\"","\"HTTP/1.1 403 Forbidden\r\n\"","string","25","true"
"","0002ce40","s_HTTP/1.1_403_Forbidden_0002ce40","ds \"HTTP/1.1 403 Forbidden\r\n\"","\"HTTP/1.1 403 Forbidden\r\n\"","string","25","true"
"","0002ce60","s_Connection:_close_0002ce60","ds \"Connection: close\r\n\"","\"Connection: close\r\n\"","string","20","true"
"","0002ce78","s_Connection:_close_0002ce78","ds \"Connection: close\r\n\"","\"Connection: close\r\n\"","string","20","true"
"","0002ce90","s_Pragma:_no-cache_0002ce90","ds \"Pragma: no-cache\r\n\"","\"Pragma: no-cache\r\n\"","string","19","true"
"","0002cea8","s_Pragma:_no-cache_0002cea8","ds \"Pragma: no-cache\r\n\"","\"Pragma: no-cache\r\n\"","string","19","true"
"","0002cec0","s_Content-Length:_0_0002cec0","ds \"Content-Length: 0\r\n\"","\"Content-Length: 0\r\n\"","string","20","true"
"","0002ced8","s_Content-Length:_0_0002ced8","ds \"Content-Length: 0\r\n\"","\"Content-Length: 0\r\n\"","string","20","true"
"","0002cef0","s_PREMO-Application-Reason:_0002cef0","ds \"PREMO-Application-Reason: \"","\"PREMO-Application-Reason: \"","string","27","true"
"","0002cf10","s_PREMO-Version:_0002cf10","ds \"PREMO-Version: \"","\"PREMO-Version: \"","string","16","true"
"","0002cf20","s_PREMO-Video-Codec:_AVC_0002cf20","ds \"PREMO-Video-Codec: AVC\r\n\"","\"PREMO-Video-Codec: AVC\r\n\"","string","25","true"
"","0002cf40","","ds \"PREMO-Video-Codec: AVC/CAVLC\r\n\"","\"PREMO-Video-Codec: AVC/CAVLC\r\n\"","string","31","true"
"","0002cf60","","ds \"PREMO-Video-Codec: M4HD\r\n\"","\"PREMO-Video-Codec: M4HD\r\n\"","string","26","true"
"","0002cf80","","ds \"PREMO-Video-Codec: M4V\r\n\"","\"PREMO-Video-Codec: M4V\r\n\"","string","25","true"
"","0002cfa0","s_HTTP/1.1_200_OK_0002cfa0","ds \"HTTP/1.1 200 OK\r\n\"","\"HTTP/1.1 200 OK\r\n\"","string","18","true"
"","0002cfb8","s_SessionID:_0002cfb8","ds \"SessionID: \"","\"SessionID: \"","string","12","true"
"","0002cfc8","s_Connection:_close_0002cfc8","ds \"Connection: close\r\n\"","\"Connection: close\r\n\"","string","20","true"
"","0002cfe0","s_Pragma:_no-cache_0002cfe0","ds \"Pragma: no-cache\r\n\"","\"Pragma: no-cache\r\n\"","string","19","true"
"","0002cff8","s_Content-Length:_0_0002cff8","ds \"Content-Length: 0\r\n\"","\"Content-Length: 0\r\n\"","string","20","true"
"","0002d010","s_PREMO-Version:_0002d010","ds \"PREMO-Version: \"","\"PREMO-Version: \"","string","16","true"
"","0002d020","s_PREMO-Video-Resolution:_0002d020","ds \"PREMO-Video-Resolution: \"","\"PREMO-Video-Resolution: \"","string","25","true"
"","0002d040","s_PREMO-Video-Resolution-Ability:_3_0002d040","ds \"PREMO-Video-Resolution-Ability: 320x240\,432x240\,480x272\r\n\"","\"PREMO-Video-Resolution-Ability: 320x240\,432x240\,480x272\r\n\"","string","58","true"
"","0002d080","s_PREMO-Video-Bitrate:_0002d080","ds \"PREMO-Video-Bitrate: \"","\"PREMO-Video-Bitrate: \"","string","22","true"
"","0002d098","s_PREMO-Video-Bitrate-Ability:_0002d098","ds \"PREMO-Video-Bitrate-Ability: \"","\"PREMO-Video-Bitrate-Ability: \"","string","30","true"
"","0002d0b8","s_PREMO-Video-ClockFrequency:_9000_0002d0b8","ds \"PREMO-Video-ClockFrequency: 90000\r\n\"","\"PREMO-Video-ClockFrequency: 90000\r\n\"","string","36","true"
"","0002d0e0","s_PREMO-Video-Framerate:_0002d0e0","ds \"PREMO-Video-Framerate:\"","\"PREMO-Video-Framerate:\"","string","23","true"
"","0002d0f8","s_PREMO-Video-Framerate-Ability:_7_0002d0f8","ds \"PREMO-Video-Framerate-Ability: 7.5\,10\,15\,30\r\n\"","\"PREMO-Video-Framerate-Ability: 7.5\,10\,15\,30\r\n\"","string","46","true"
"","0002d128","s_PREMO-Video-Config:_0002d128","ds \"PREMO-Video-Config: \"","\"PREMO-Video-Config: \"","string","21","true"
"","0002d140","s_PREMO-Power-Control:_on_0002d140","ds \"PREMO-Power-Control: on\r\n\"","\"PREMO-Power-Control: on\r\n\"","string","26","true"
"","0002d160","s_PREMO-AVRCP:_capable_0002d160","ds \"PREMO-AVRCP: capable\r\n\"","\"PREMO-AVRCP: capable\r\n\"","string","23","true"
"","0002d178","s_PREMO-PS3-Nickname:_0002d178","ds \"PREMO-PS3-Nickname: \"","\"PREMO-PS3-Nickname: \"","string","21","true"
"","0002d190","s_PREMO-Exec-Mode:_0002d190","ds \"PREMO-Exec-Mode: \"","\"PREMO-Exec-Mode: \"","string","18","true"
"","0002d1a8","s_PREMO-Touch:_0002d1a8","ds \"PREMO-Touch: \"","\"PREMO-Touch: \"","string","14","true"
"","0002d1b8","s_PREMO-Audio-SamplingRate:_48000_0002d1b8","ds \"PREMO-Audio-SamplingRate: 48000\r\n\"","\"PREMO-Audio-SamplingRate: 48000\r\n\"","string","34","true"
"","0002d1e0","s_PREMO-Audio-Channels:_2_0002d1e0","ds \"PREMO-Audio-Channels: 2\r\n\"","\"PREMO-Audio-Channels: 2\r\n\"","string","26","true"
"","0002d200","s_PREMO-Audio-Bitrate:_0002d200","ds \"PREMO-Audio-Bitrate: \"","\"PREMO-Audio-Bitrate: \"","string","22","true"
"","0002d218","s_PREMO-Audio-Bitrate-Ability:_0002d218","ds \"PREMO-Audio-Bitrate-Ability: \"","\"PREMO-Audio-Bitrate-Ability: \"","string","30","true"
"","0002d238","s_PREMO-Audio-ClockFrequency:_9000_0002d238","ds \"PREMO-Audio-ClockFrequency: 90000\r\n\"","\"PREMO-Audio-ClockFrequency: 90000\r\n\"","string","36","true"
"","0002d260","s_PREMO-Audio-Config:_400023203FC0_0002d260","ds \"PREMO-Audio-Config: 400023203FC0\r\n\"","\"PREMO-Audio-Config: 400023203FC0\r\n\"","string","35","true"
"","0002d288","s_PREMO-Pad-Complete:_on_0002d288","ds \"PREMO-Pad-Complete: on\r\n\"","\"PREMO-Pad-Complete: on\r\n\"","string","25","true"
"","0002d2a8","s_PREMO-Pad-Complete:_off_0002d2a8","ds \"PREMO-Pad-Complete: off\r\n\"","\"PREMO-Pad-Complete: off\r\n\"","string","26","true"
"","0002d2c8","s_PREMO-Pad-Assign:_CIRCLE_0002d2c8","ds \"PREMO-Pad-Assign: CIRCLE\r\n\"","\"PREMO-Pad-Assign: CIRCLE\r\n\"","string","27","true"
"","0002d2e8","s_PREMO-Pad-Assign:_CROSS_0002d2e8","ds \"PREMO-Pad-Assign: CROSS\r\n\"","\"PREMO-Pad-Assign: CROSS\r\n\"","string","26","true"
"","0002d308","s_PREMO-Trans-Mode:_0002d308","ds \"PREMO-Trans-Mode: \"","\"PREMO-Trans-Mode: \"","string","19","true"
"","0002d320","s_PREMO-Nonce:_0002d320","ds \"PREMO-Nonce: \"","\"PREMO-Nonce: \"","string","14","true"
"","0002d330","s_PREMO-OTA:_capable_0002d330","ds \"PREMO-OTA: capable\r\n\"","\"PREMO-OTA: capable\r\n\"","string","21","true"
"","0002d348","s_PREMO-Audio-Codec:_M4A_0002d348","ds \"PREMO-Audio-Codec: M4A\r\n\"","\"PREMO-Audio-Codec: M4A\r\n\"","string","25","true"
"","0002d368","","ds \"PREMO-Audio-Codec: AT3\r\n\"","\"PREMO-Audio-Codec: AT3\r\n\"","string","25","true"
"","0002d388","s_PREMO-Application-Reason:_0002d388","ds \"PREMO-Application-Reason: \"","\"PREMO-Application-Reason: \"","string","27","true"
"","0002d4a8","s_0123456789abcdefghijklmnopqrstuv_0002d4a8","ds \"0123456789abcdefghijklmnopqrstuvwxyz\"","\"0123456789abcdefghijklmnopqrstuvwxyz\"","string","37","true"
"","0002d4d0","s_0123456789abcdefghijklmnopqrstuv_0002d4d0","ds \"0123456789abcdefghijklmnopqrstuvwxyz\"","\"0123456789abcdefghijklmnopqrstuvwxyz\"","string","37","true"
"","0002dd0c","","ds \"a2v.objCoord\"","\"a2v.objCoord\"","string","13","true"
"","0002dd19","","ds \"a2v.texCoord\"","\"a2v.texCoord\"","string","13","true"
"","0002dd26","","ds \"POSITION\"","\"POSITION\"","string","9","true"
"","0002dd2f","","ds \"main.projCoord\"","\"main.projCoord\"","string","15","true"
"","0002dd3e","","ds \"TEXCOORD0\"","\"TEXCOORD0\"","string","10","true"
"","0002dd48","","ds \"main.texCoord\"","\"main.texCoord\"","string","14","true"
"","0002de4c","","ds \"TEXCOORD0\"","\"TEXCOORD0\"","string","10","true"
"","0002de56","","ds \"texCoord\"","\"texCoord\"","string","9","true"
"","0002df8c","","ds \"TEXCOORD0\"","\"TEXCOORD0\"","string","10","true"
"","0002df96","","ds \"texCoord\"","\"texCoord\"","string","9","true"
"","0002dfb3","","?? 20h     ","\" yuvCoeff\"","string","10","false"
"","0002e5d8","s_HTTP/1.1_200_OK_Connection:_keep_0002e5d8","ds \"HTTP/1.1 200 OK\r\nConnection: keep-alive\r\nPragma: no-cache\r\nContent-Length: 0\r\n\r\n\"","\"HTTP/1.1 200 OK\r\nConnection: keep-alive\r\nPragma: no-cache\r\nContent-Length: 0\r\n\r\n\"","string","81","true"
"","0002e630","s_HTTP/1.1_200_OK_0002e630","ds \"HTTP/1.1 200 OK\r\n\"","\"HTTP/1.1 200 OK\r\n\"","string","18","true"
"","0002e648","s_Connection:_close_0002e648","ds \"Connection: close\r\n\"","\"Connection: close\r\n\"","string","20","true"
"","0002e660","s_Pragma:_no-cache_0002e660","ds \"Pragma: no-cache\r\n\"","\"Pragma: no-cache\r\n\"","string","19","true"
"","0002e678","s_Content-Length:_0_0002e678","ds \"Content-Length: 0\r\n\"","\"Content-Length: 0\r\n\"","string","20","true"
"","0002e690","s_HTTP/1.1_403_Forbidden_0002e690","ds \"HTTP/1.1 403 Forbidden\r\n\"","\"HTTP/1.1 403 Forbidden\r\n\"","string","25","true"
"","0002e6b0","s_Connection:_close_0002e6b0","ds \"Connection: close\r\n\"","\"Connection: close\r\n\"","string","20","true"
"","0002e6c8","s_Pragma:_no-cache_0002e6c8","ds \"Pragma: no-cache\r\n\"","\"Pragma: no-cache\r\n\"","string","19","true"
"","0002e6e0","s_Content-Length:_0_0002e6e0","ds \"Content-Length: 0\r\n\"","\"Content-Length: 0\r\n\"","string","20","true"
